Ticker,Start_Date,M1_Price,M1_Percent_Change,M2_Price,M2_Percent_Change,M3_Price,M3_Percent_Change,M4_Price,M4_Percent_Change,M5_Price,M5_Percent_Change,M6_Price,M6_Percent_Change,M7_Price,M7_Percent_Change,M8_Price,M8_Percent_Change,M9_Price,M9_Percent_Change,M10_Price,M10_Percent_Change,M11_Price,M11_Percent_Change,Final_Rolling_Performance,Num_Sell_Events,Total_Reset_Value,Portfolio_Weight,Sell_Events_Impact,Rolling_Performance_Track,Total Loss $1M
DELL,1/1/23,38.89,0.65,39.22,0.85,38.55,-1.71,42.12,9.26,43.6,3.51,52.3,19.95,51.48,-1.57,62.51,21.43,66.92,7.05,66,-1.37,70.48,6.79,64.84,0,0,0.15,0,M1:0.65% -> M2:1.5% -> M3:-0.21% -> M4:9.05% -> M5:12.56% -> M6:32.51% -> M7:30.94% -> M8:52.37% -> M9:59.42% -> M10:58.05% -> M11:64.84%,
MDLZ,1/1/23,62.49,-1.26,61.84,-1.04,66.47,7.49,73.22,10.15,70.45,-3.78,70,-0.64,71.43,2.04,69.01,-3.39,66.98,-2.94,64.31,-3.99,68.59,6.66,9.3,0,0,0.14,0,M1:-1.26% -> M2:-2.3% -> M3:5.19% -> M4:15.34% -> M5:11.56% -> M6:10.92% -> M7:12.96% -> M8:9.57% -> M9:6.63% -> M10:2.64% -> M11:9.3%,
MAR,1/1/23,169.15,15.46,166.02,-1.85,162.11,-2.36,165.57,2.13,164.93,-0.39,180.28,9.31,196.15,8.8,201.69,2.82,193.15,-4.23,187.12,-3.12,200.3,7.04,33.61,0,0,0.14,0,M1:15.46% -> M2:13.61% -> M3:11.25% -> M4:13.38% -> M5:12.99% -> M6:22.3% -> M7:31.1% -> M8:33.92% -> M9:29.69% -> M10:26.57% -> M11:33.61%,
MSI,1/1/23,249.78,-1.08,255.36,2.23,278.38,9.01,286.91,3.06,276.53,-3.62,286.23,3.51,284.16,-0.72,279.54,-1.63,267.89,-4.17,274.96,2.64,319.47,16.19,25.42,0,0,0.14,0,M1:-1.08% -> M2:1.15% -> M3:10.16% -> M4:13.22% -> M5:9.6% -> M6:13.11% -> M7:12.39% -> M8:10.76% -> M9:6.59% -> M10:9.23% -> M11:25.42%,
WELL,1/1/23,70.74,12.72,69.97,-1.09,68.46,-2.16,75.16,9.79,71.02,-5.51,77.03,8.46,78.4,1.78,80.46,2.63,78.71,-2.17,80.96,2.86,86.65,7.03,34.34,0,0,0.14,0,M1:12.72% -> M2:11.63% -> M3:9.47% -> M4:19.26% -> M5:13.75% -> M6:22.21% -> M7:23.99% -> M8:26.62% -> M9:24.45% -> M10:27.31% -> M11:34.34%,
AON,1/1/23,311.91,5.27,298.07,-4.44,310.13,4.05,319.29,2.95,305.7,-4.26,337.74,10.48,314.72,-6.82,331.89,5.46,320.56,-3.41,308.04,-3.91,325.94,5.81,11.18,0,0,0.14,0,M1:5.27% -> M2:0.83% -> M3:4.88% -> M4:7.83% -> M5:3.57% -> M6:14.05% -> M7:7.23% -> M8:12.69% -> M9:9.28% -> M10:5.37% -> M11:11.18%,
REGN,1/1/23,751.22,4.2,758.91,1.02,817.75,7.75,802.68,-1.84,735.06,-8.42,709.18,-3.52,743.7,4.87,833.48,12.07,825.94,-0.9,782.9,-5.21,823.88,5.23,15.25,0,0,0.14,0,M1:4.2% -> M2:5.22% -> M3:12.97% -> M4:11.13% -> M5:2.71% -> M6:-0.81% -> M7:4.06% -> M8:16.13% -> M9:15.23% -> M10:10.02% -> M11:15.25%,
CI,1/1/23,302.86,-3.77,277.78,-8.28,250.8,-9.71,244.57,-2.48,240.29,-1.75,270.61,12.62,286.95,6.04,269.51,-6.08,278.41,3.3,299.88,7.71,257.21,-14.23,7.61,2,-24.24,0.14,-335.92,M1:-3.77% -> M2:-12.05% [SELL] -> M3:-9.71% -> M4:-12.19% [SELL] -> M5:-1.75% -> M6:10.87% -> M7:16.91% -> M8:10.83% -> M9:14.13% -> M10:21.84% -> M11:7.61%,
HCA,1/1/23,247.86,4.31,237.76,-4.07,259.16,9,283.77,9.5,260.52,-8.19,296.75,13.91,269.75,-9.1,275.67,2.19,243.14,-11.8,222.75,-8.39,247.96,11.32,8.68,0,0,0.14,0,M1:4.31% -> M2:0.24% -> M3:9.24% -> M4:18.74% -> M5:10.55% -> M6:24.46% -> M7:15.36% -> M8:17.55% -> M9:5.75% -> M10:-2.64% -> M11:8.68%,
PNC,1/1/23,150.64,3.55,144.33,-4.19,116.68,-19.16,117.74,0.91,109.12,-7.32,117.71,7.87,128.33,9.02,114.66,-10.65,114.96,0.26,109.54,-4.71,127.63,16.51,11.89,1,-19.8,0.14,-272.46,M1:3.55% -> M2:-0.64% -> M3:-19.8% [SELL] -> M4:0.91% -> M5:-6.41% -> M6:1.46% -> M7:10.48% -> M8:-0.17% -> M9:0.09% -> M10:-4.62% -> M11:11.89%,
ITW,1/1/23,225.63,6.96,222.11,-1.56,232.72,4.78,233.53,0.35,210.54,-9.84,240.35,14.16,246.89,2.72,240.53,-2.58,223.45,-7.1,218.75,-2.1,235.03,7.44,13.23,0,0,0.14,0,M1:6.96% -> M2:5.4% -> M3:10.18% -> M4:10.53% -> M5:0.69% -> M6:14.85% -> M7:17.57% -> M8:14.99% -> M9:7.89% -> M10:5.79% -> M11:13.23%,
SNPS,1/1/23,353.67,9.5,363.19,2.69,385.18,6.05,370.76,-3.74,446.53,20.44,431.52,-3.36,448.14,3.85,460,2.65,461.19,0.26,470.7,2.06,543.56,15.48,55.88,0,0,0.14,0,M1:9.5% -> M2:12.19% -> M3:18.24% -> M4:14.5% -> M5:34.94% -> M6:31.58% -> M7:35.43% -> M8:38.08% -> M9:38.34% -> M10:40.4% -> M11:55.88%,
CTAS,1/1/23,103.94,-2.35,103.28,-0.63,108.91,5.45,107.72,-1.09,113.28,5.16,117.45,3.68,120.25,2.38,123.02,2.3,116.31,-5.45,123.06,5.8,135.19,9.86,25.11,0,0,0.14,0,M1:-2.35% -> M2:-2.98% -> M3:2.47% -> M4:1.38% -> M5:6.54% -> M6:10.22% -> M7:12.6% -> M8:14.9% -> M9:9.45% -> M10:15.25% -> M11:25.11%,
CL,1/1/23,71.03,-4.94,70,-1.45,71.81,2.59,76.68,6.78,71.95,-6.17,73.62,2.32,73.57,-0.07,71.47,-2.85,68.54,-4.1,73.11,6.67,76.72,4.94,3.72,0,0,0.14,0,M1:-4.94% -> M2:-6.39% -> M3:-3.8% -> M4:2.98% -> M5:-3.19% -> M6:-0.87% -> M7:-0.94% -> M8:-3.79% -> M9:-7.89% -> M10:-1.22% -> M11:3.72%,
USB,1/1/23,44.57,11.4,42.72,-4.15,33.21,-22.26,31.42,-5.39,27.61,-12.13,30.88,11.84,36.73,18.94,34.3,-6.62,30.83,-10.12,30.12,-2.3,35.82,18.92,30.66,2,-32.53,0.13,-437.52,M1:11.4% -> M2:7.25% -> M3:-15.01% [SELL] -> M4:-5.39% -> M5:-17.52% [SELL] -> M6:11.84% -> M7:30.78% -> M8:24.16% -> M9:14.04% -> M10:11.74% -> M11:30.66%,
FTNT,1/1/23,52.15,5.29,59.54,14.17,65.82,10.55,62.3,-5.35,67.64,8.57,75.3,11.32,77.64,3.11,60.5,-22.08,58.79,-2.83,57.43,-2.31,52.05,-9.37,11.07,0,0,0.13,0,M1:5.29% -> M2:19.46% -> M3:30.01% -> M4:24.66% -> M5:33.23% -> M6:44.55% -> M7:47.66% -> M8:25.58% -> M9:22.75% -> M10:20.44% -> M11:11.07%,
ZTS,1/1/23,162.24,11.56,162.74,0.31,163.55,0.5,172.68,5.58,160.08,-7.3,167.58,4.69,184.62,10.17,190.05,2.94,170.58,-10.24,154.42,-9.47,174,12.68,21.42,0,0,0.13,0,M1:11.56% -> M2:11.87% -> M3:12.37% -> M4:17.95% -> M5:10.65% -> M6:15.34% -> M7:25.51% -> M8:28.45% -> M9:18.21% -> M10:8.74% -> M11:21.42%,
MCK,1/1/23,370.39,0.52,344.85,-6.9,355,2.94,361.52,1.84,388.93,7.58,419.12,7.76,399.04,-4.79,410.35,2.83,430.46,4.9,450.32,4.61,469.73,4.31,25.6,0,0,0.13,0,M1:0.52% -> M2:-6.38% -> M3:-3.44% -> M4:-1.6% -> M5:5.98% -> M6:13.74% -> M7:8.95% -> M8:11.78% -> M9:16.68% -> M10:21.29% -> M11:25.6%,
GD,1/1/23,221.41,-6.22,217.58,-1.73,219.03,0.67,210.03,-4.11,197.81,-5.82,206.57,4.43,216.47,4.79,220.82,2.01,214.67,-2.79,235.95,9.91,240.92,2.11,14.64,1,-11.39,0.13,-148.55,M1:-6.22% -> M2:-7.95% -> M3:-7.28% -> M4:-11.39% [SELL] -> M5:-5.82% -> M6:-1.39% -> M7:3.4% -> M8:5.41% -> M9:2.62% -> M10:12.53% -> M11:14.64%,
TDG,1/1/23,651.78,12.7,678.84,4.15,675.59,-0.48,698.87,3.45,708.59,1.39,812.09,14.61,819.73,0.94,830.74,1.34,768.4,-7.5,759.42,-1.17,908.24,19.6,49.03,0,0,0.13,0,M1:12.7% -> M2:16.85% -> M3:16.37% -> M4:19.82% -> M5:21.21% -> M6:35.82% -> M7:36.76% -> M8:38.1% -> M9:30.6% -> M10:29.43% -> M11:49.03%,
CEG,1/1/23,83.69,-0.63,72.86,-12.94,76.66,5.22,76.19,-0.61,83.71,9.87,89.76,7.23,94.92,5.75,104.46,10.05,107.1,2.53,112.34,4.89,119.56,6.43,51.36,1,-13.57,0.13,-173.35,M1:-0.63% -> M2:-13.57% [SELL] -> M3:5.22% -> M4:4.61% -> M5:14.48% -> M6:21.71% -> M7:27.46% -> M8:37.51% -> M9:40.04% -> M10:44.93% -> M11:51.36%,
AJG,1/1/23,191.69,3.73,182.6,-4.74,187.42,2.64,204.08,8.89,196.79,-3.57,215.65,9.58,211.71,-1.83,228.23,7.8,224.07,-1.82,232.76,3.88,245.74,5.58,30.14,0,0,0.13,0,M1:3.73% -> M2:-1.01% -> M3:1.63% -> M4:10.52% -> M5:6.95% -> M6:16.53% -> M7:14.7% -> M8:22.5% -> M9:20.68% -> M10:24.56% -> M11:30.14%,
EMR,1/1/23,85.44,-7.33,79.4,-7.07,83.68,5.39,80.15,-4.22,75.33,-6.01,87,15.49,87.69,0.79,95.55,8.96,93.62,-2.02,86.69,-7.4,87.24,0.63,11.61,1,-14.4,0.13,-183.1,M1:-7.33% -> M2:-14.4% [SELL] -> M3:5.39% -> M4:1.17% -> M5:-4.84% -> M6:10.65% -> M7:11.44% -> M8:20.4% -> M9:18.38% -> M10:10.98% -> M11:11.61%,
MMM,1/1/23,86.86,-5.74,85.32,-1.77,80.79,-5.31,81.71,1.14,72.91,-10.77,78.16,7.2,86.97,11.27,84.95,-2.32,73.35,-13.66,72.17,-1.61,79.48,10.13,1.38,1,-12.82,0.13,-162.38,M1:-5.74% -> M2:-7.51% -> M3:-12.82% [SELL] -> M4:1.14% -> M5:-9.63% -> M6:-2.43% -> M7:8.84% -> M8:6.52% -> M9:-7.14% -> M10:-8.75% -> M11:1.38%,
ORLY,1/1/23,788.56,-6.39,822.69,4.33,851.67,3.52,917.75,7.76,903.31,-1.57,954.46,5.66,926.44,-2.94,945.57,2.06,908.86,-3.88,934.92,2.87,984.5,5.3,16.72,0,0,0.13,0,M1:-6.39% -> M2:-2.06% -> M3:1.46% -> M4:9.22% -> M5:7.65% -> M6:13.31% -> M7:10.37% -> M8:12.43% -> M9:8.55% -> M10:11.42% -> M11:16.72%,
NOC,1/1/23,429.09,-18.25,446.62,4.09,447.91,0.29,446.6,-0.29,424.09,-5.04,439.96,3.74,432.94,-1.6,424.43,-1.97,429.48,1.19,462.97,7.8,466.42,0.75,8.96,1,-18.25,0.12,-224.62,M1:-18.25% [SELL] -> M2:4.09% -> M3:4.38% -> M4:4.09% -> M5:-0.95% -> M6:2.79% -> M7:1.19% -> M8:-0.78% -> M9:0.41% -> M10:8.21% -> M11:8.96%,
COF,1/1/23,108.33,21.95,105.48,-2.63,92.53,-12.28,93.73,1.3,101.88,8.7,106.19,4.23,112.77,6.2,100.6,-10.79,94.47,-6.09,99.13,4.93,109.21,10.17,25.69,0,0,0.12,0,M1:21.95% -> M2:19.32% -> M3:7.04% -> M4:8.34% -> M5:17.04% -> M6:21.27% -> M7:27.47% -> M8:16.68% -> M9:10.59% -> M10:15.52% -> M11:25.69%,
ECL,1/1/23,150.42,4.57,155.07,3.09,162.38,4.71,164.75,1.46,162.06,-1.63,182.75,12.77,180.05,-1.48,181.5,0.81,166.89,-8.05,165.33,-0.93,189.25,14.47,29.79,0,0,0.12,0,M1:4.57% -> M2:7.66% -> M3:12.37% -> M4:13.83% -> M5:12.2% -> M6:24.97% -> M7:23.49% -> M8:24.3% -> M9:16.25% -> M10:15.32% -> M11:29.79%,
EOG,1/1/23,121.45,3.18,104.88,-13.64,112.71,7.47,110.82,-1.68,101.28,-8.61,107.76,6.4,124.53,15.56,123.73,-0.64,120.32,-2.76,120.77,0.37,116.88,-3.22,12.89,1,-10.46,0.12,-126,M1:3.18% -> M2:-10.46% [SELL] -> M3:7.47% -> M4:5.79% -> M5:-2.82% -> M6:3.58% -> M7:19.14% -> M8:18.5% -> M9:15.74% -> M10:16.11% -> M11:12.89%,
FDX,1/1/23,185.32,10.36,195.06,5.26,219.37,12.46,220.46,0.5,209.91,-4.79,239.81,14.24,261.33,8.97,254.99,-2.43,259.42,1.74,234.61,-9.56,252.74,7.73,44.48,0,0,0.12,0,M1:10.36% -> M2:15.62% -> M3:28.08% -> M4:28.58% -> M5:23.79% -> M6:38.03% -> M7:47.0% -> M8:44.57% -> M9:46.31% -> M10:36.75% -> M11:44.48%,
BDX,1/1/23,244.1,-4.06,225.2,-7.74,239.78,6.47,256.68,7.05,237.02,-7.66,255.51,7.8,269.65,5.53,274.25,1.71,251.07,-8.45,248.51,-1.02,231.19,-6.97,4.46,1,-11.8,0.12,-140.18,M1:-4.06% -> M2:-11.8% [SELL] -> M3:6.47% -> M4:13.52% -> M5:5.86% -> M6:13.66% -> M7:19.19% -> M8:20.9% -> M9:12.45% -> M10:11.43% -> M11:4.46%,
APD,1/1/23,303.24,2.92,270.89,-10.67,274.03,1.16,281.99,2.9,255.98,-9.22,286.8,12.04,292.13,1.86,287.2,-1.69,272.29,-5.19,273.94,0.61,261.9,-4.4,3.23,1,-12.91,0.12,-152.37,M1:2.92% -> M2:-7.75% -> M3:-6.59% -> M4:-3.69% -> M5:-12.91% [SELL] -> M6:12.04% -> M7:13.9% -> M8:12.21% -> M9:7.02% -> M10:7.63% -> M11:3.23%,
WMB,1/1/23,28.89,-2.5,27.23,-5.75,27.87,2.35,27.59,-1,26.4,-4.31,30.45,15.34,32.17,5.65,32.53,1.12,31.7,-2.55,32.63,2.93,34.72,6.41,28.9,1,-11.21,0.12,-131.51,M1:-2.5% -> M2:-8.25% -> M3:-5.9% -> M4:-6.9% -> M5:-11.21% [SELL] -> M6:15.34% -> M7:20.99% -> M8:22.11% -> M9:19.56% -> M10:22.49% -> M11:28.9%,
SPG,1/1/23,114.29,8.27,109.15,-4.5,102.05,-6.5,102.49,0.43,95.44,-6.88,106.13,11.2,114.75,8.12,105.45,-8.1,100.78,-4.43,104.05,3.24,117.23,12.67,13.52,0,0,0.12,0,M1:8.27% -> M2:3.77% -> M3:-2.73% -> M4:-2.3% -> M5:-9.18% -> M6:2.02% -> M7:10.14% -> M8:2.04% -> M9:-2.39% -> M10:0.85% -> M11:13.52%,
ADSK,1/1/23,213.89,12.21,199.48,-6.74,205.09,2.81,194.79,-5.02,199.21,2.27,203,1.9,211.17,4.02,224.07,6.11,206.06,-8.04,198.12,-3.85,218.27,10.17,15.84,0,0,0.12,0,M1:12.21% -> M2:5.47% -> M3:8.28% -> M4:3.26% -> M5:5.53% -> M6:7.43% -> M7:11.45% -> M8:17.56% -> M9:9.52% -> M10:5.67% -> M11:15.84%,
RCL,1/1/23,64.47,28.61,70.27,9,63.73,-9.31,64.99,1.98,80.24,23.47,102.66,27.94,106.19,3.44,98.41,-7.33,91.01,-7.52,84.06,-7.64,106.61,26.83,89.47,0,0,0.12,0,M1:28.61% -> M2:37.61% -> M3:28.3% -> M4:30.28% -> M5:53.75% -> M6:81.69% -> M7:85.13% -> M8:77.8% -> M9:70.28% -> M10:62.64% -> M11:89.47%,
RSG,1/1/23,120.36,-4.82,125.93,4.63,132.24,5.01,141.63,7.1,138.99,-1.86,149.41,7.5,150.67,0.84,141.81,-5.88,140.17,-1.16,146.56,4.56,159.61,8.9,24.82,0,0,0.11,0,M1:-4.82% -> M2:-0.19% -> M3:4.82% -> M4:11.92% -> M5:10.06% -> M6:17.56% -> M7:18.4% -> M8:12.52% -> M9:11.36% -> M10:15.92% -> M11:24.82%,
CARR,1/1/23,43.93,7.7,43.66,-0.61,44.27,1.4,40.48,-8.56,40.1,-0.94,48.78,21.65,58.21,19.33,56.62,-2.73,53.96,-4.7,47.3,-12.34,51.33,8.52,28.72,0,0,0.11,0,M1:7.7% -> M2:7.09% -> M3:8.49% -> M4:-0.07% -> M5:-1.01% -> M6:20.64% -> M7:39.97% -> M8:37.24% -> M9:32.54% -> M10:20.2% -> M11:28.72%,
CSX,1/1/23,29.81,-1,29.54,-0.91,28.93,-2.06,29.8,3.01,30.38,1.95,33.03,8.72,32.51,-1.57,29.84,-8.21,29.96,0.4,29.23,-2.44,31.84,8.93,6.82,0,0,0.11,0,M1:-1.0% -> M2:-1.91% -> M3:-3.97% -> M4:-0.96% -> M5:0.99% -> M6:9.71% -> M7:8.14% -> M8:-0.07% -> M9:0.33% -> M10:-2.11% -> M11:6.82%,
HLT,1/1/23,143.47,13.11,143.37,-0.07,139.74,-2.53,142.56,2.02,135.86,-4.7,143.73,5.79,153.89,7.07,149.41,-2.91,148.34,-0.72,151.55,2.16,167.16,10.3,29.52,0,0,0.11,0,M1:13.11% -> M2:13.04% -> M3:10.51% -> M4:12.53% -> M5:7.83% -> M6:13.62% -> M7:20.69% -> M8:17.78% -> M9:17.06% -> M10:19.22% -> M11:29.52%,
DLR,1/1/23,106.47,12.8,96.05,-9.79,92.19,-4.02,92.8,0.66,96.16,3.62,108.27,12.59,118.06,9.04,126.23,6.92,115.65,-8.38,119.57,3.39,131.96,10.36,37.19,0,0,0.11,0,M1:12.8% -> M2:3.01% -> M3:-1.01% -> M4:-0.35% -> M5:3.27% -> M6:15.86% -> M7:24.9% -> M8:31.82% -> M9:23.44% -> M10:26.83% -> M11:37.19%,
TGT,1/1/23,160.54,14.75,157.84,-1.68,156.19,-1.05,148.01,-5.24,121.53,-17.89,124.35,2.32,128.83,3.6,121.57,-5.64,105.17,-13.49,105.87,0.67,128.46,21.34,22.01,2,-24.32,0.11,-263.6,M1:14.75% -> M2:13.07% -> M3:12.02% -> M4:6.78% -> M5:-11.11% [SELL] -> M6:2.32% -> M7:5.92% -> M8:0.28% -> M9:-13.21% [SELL] -> M10:0.67% -> M11:22.01%,
KMI,1/1/23,16.23,2.92,15.31,-5.67,15.8,3.2,15.4,-2.53,14.59,-5.26,15.57,6.72,16.29,4.62,15.97,-1.96,15.25,-4.51,15.2,-0.33,16.39,7.83,5.03,0,0,0.11,0,M1:2.92% -> M2:-2.75% -> M3:0.45% -> M4:-2.08% -> M5:-7.34% -> M6:-0.62% -> M7:4.0% -> M8:2.04% -> M9:-2.47% -> M10:-2.8% -> M11:5.03%,
OKE,1/1/23,61.15,4.71,59.25,-3.11,58.85,-0.68,59.49,1.09,52,-12.59,56.61,8.87,62.04,9.59,61.25,-1.27,59.14,-3.44,61.8,4.5,64.81,4.87,23.12,1,-10.58,0.11,-111.3,M1:4.71% -> M2:1.6% -> M3:0.92% -> M4:2.01% -> M5:-10.58% [SELL] -> M6:8.87% -> M7:18.46% -> M8:17.19% -> M9:13.75% -> M10:18.25% -> M11:23.12%,
TFC,1/1/23,43.15,12.75,41.52,-3.78,30.28,-27.07,28.89,-4.59,28.18,-2.46,27.71,-1.67,29.73,7.29,28.5,-4.14,26.31,-7.68,26.2,-0.42,30.07,14.77,14.35,2,-31.35,0.1,-324.36,M1:12.75% -> M2:8.97% -> M3:-18.1% [SELL] -> M4:-4.59% -> M5:-7.05% -> M6:-8.72% -> M7:-1.43% -> M8:-5.57% -> M9:-13.25% [SELL] -> M10:-0.42% -> M11:14.35%,
AFL,1/1/23,69.77,1.9,65.25,-6.48,61.67,-5.49,66.84,8.38,62.28,-6.82,67.02,7.61,69.76,4.09,72.47,3.88,74.21,2.4,75.83,2.18,80.08,5.6,27.32,1,-10.07,0.1,-103.35,M1:1.9% -> M2:-4.58% -> M3:-10.07% [SELL] -> M4:8.38% -> M5:1.56% -> M6:9.17% -> M7:13.26% -> M8:17.14% -> M9:19.54% -> M10:21.72% -> M11:27.32%,
GM,1/1/23,38.53,15.95,37.78,-1.95,35.62,-5.72,33.29,-6.54,31.81,-4.45,38.03,19.55,37.35,-1.79,33.07,-11.46,32.33,-2.24,28.28,-12.53,31.12,10.04,10.04,1,-11.18,0.1,-114.59,M1:15.95% -> M2:14.0% -> M3:8.28% -> M4:1.74% -> M5:-2.71% -> M6:16.84% -> M7:15.05% -> M8:3.59% -> M9:1.35% -> M10:-11.18% [SELL] -> M11:10.04%,
BK,1/1/23,46.95,9.52,47.2,0.53,42.69,-9.56,40.6,-4.9,38.42,-5.37,42.3,10.1,43.25,2.25,43.29,0.09,40.75,-5.87,41.07,0.79,46.61,13.49,11.07,0,0,0.1,0,M1:9.52% -> M2:10.05% -> M3:0.49% -> M4:-4.41% -> M5:-9.78% -> M6:0.32% -> M7:2.57% -> M8:2.66% -> M9:-3.21% -> M10:-2.42% -> M11:11.07%,
ROP,1/1/23,417.09,-3.03,423.92,1.64,435.19,2.66,450.98,3.63,445.68,-1.18,473.09,6.15,487.33,3.01,496.11,1.8,479.68,-3.31,486.64,1.45,534.42,9.82,22.64,0,0,0.1,0,M1:-3.03% -> M2:-1.39% -> M3:1.27% -> M4:4.9% -> M5:3.72% -> M6:9.87% -> M7:12.88% -> M8:14.68% -> M9:11.37% -> M10:12.82% -> M11:22.64%,
MET,1/1/23,67.47,-0.03,67.11,-0.53,54.68,-18.52,57.2,4.61,47.15,-17.57,53.73,13.96,59.38,10.52,60.95,2.64,59.68,-2.08,57.32,-3.95,61.08,6.56,27.65,2,-32.04,0.1,-324.74,M1:-0.03% -> M2:-0.56% -> M3:-19.08% [SELL] -> M4:4.61% -> M5:-12.96% [SELL] -> M6:13.96% -> M7:24.48% -> M8:27.12% -> M9:25.04% -> M10:21.09% -> M11:27.65%,
CPRT,1/1/23,33.24,8.27,35.18,5.84,37.36,6.2,39.11,4.68,43.96,12.4,45.53,3.57,44.12,-3.1,45.21,2.47,43.31,-4.2,43.72,0.95,50.08,14.55,51.63,0,0,0.1,0,M1:8.27% -> M2:14.11% -> M3:20.31% -> M4:24.99% -> M5:37.39% -> M6:40.96% -> M7:37.86% -> M8:40.33% -> M9:36.13% -> M10:37.08% -> M11:51.63%,
FCX,1/1/23,43.06,17.04,41.43,-3.79,40,-3.45,37.93,-5.18,34.03,-10.28,39.45,15.93,42.8,8.49,40.09,-6.33,36.03,-10.13,33.32,-7.52,37.22,11.7,6.48,0,0,0.1,0,M1:17.04% -> M2:13.25% -> M3:9.8% -> M4:4.62% -> M5:-5.66% -> M6:10.27% -> M7:18.76% -> M8:12.43% -> M9:2.3% -> M10:-5.22% -> M11:6.48%,
CVS,1/1/23,81.36,-3.38,76.64,-5.8,69.36,-9.5,68.59,-1.11,63.7,-7.13,64.43,1.15,70.25,9.03,61.46,-12.51,65.35,6.33,62.32,-4.64,64.37,3.29,4.98,2,-29.25,0.1,-293.77,M1:-3.38% -> M2:-9.18% -> M3:-18.68% [SELL] -> M4:-1.11% -> M5:-8.24% -> M6:-7.09% -> M7:1.94% -> M8:-10.57% [SELL] -> M9:6.33% -> M10:1.69% -> M11:4.98%,
PCAR,1/1/23,66.23,9.82,66.08,-0.23,67.27,1.8,68.57,1.93,63.56,-7.31,76.9,20.99,79.08,2.83,76.56,-3.19,78.62,2.69,76.45,-2.76,85.22,11.47,38.04,0,0,0.1,0,M1:9.82% -> M2:9.59% -> M3:11.39% -> M4:13.32% -> M5:6.01% -> M6:27.0% -> M7:29.83% -> M8:26.64% -> M9:29.33% -> M10:26.57% -> M11:38.04%,
SRE,1/1/23,74.83,3.41,69.96,-6.51,71.32,1.94,73.37,2.87,68.12,-7.16,68.16,0.06,70.96,4.11,67.43,-4.97,64.88,-3.78,67.66,4.28,70.11,3.62,7.9,1,-10.03,0.1,-99.22,M1:3.41% -> M2:-3.1% -> M3:-1.16% -> M4:1.71% -> M5:-5.45% -> M6:-5.39% -> M7:-1.28% -> M8:-6.25% -> M9:-10.03% [SELL] -> M10:4.28% -> M11:7.9%,
AZO,1/1/23,2435.98,-0.23,2458.51,0.92,2466.44,0.32,2669.93,8.25,2386.21,-10.63,2468.55,3.45,2487.46,0.77,2547.21,2.4,2535,-0.48,2476.85,-2.29,2616.82,5.65,8.13,0,0,0.1,0,M1:-0.23% -> M2:0.69% -> M3:1.01% -> M4:9.26% -> M5:-1.37% -> M6:2.08% -> M7:2.85% -> M8:5.25% -> M9:4.77% -> M10:2.48% -> M11:8.13%,
TRV,1/1/23,181.45,1.22,176.65,-2.65,165.06,-6.56,173.99,5.41,164.07,-5.7,167.29,1.96,167.05,-0.14,157.62,-5.65,159.3,1.07,164.15,3.04,175.76,7.07,11.18,1,-12.11,0.1,-119.08,M1:1.22% -> M2:-1.43% -> M3:-7.99% -> M4:-2.58% -> M5:-8.28% -> M6:-6.32% -> M7:-6.46% -> M8:-12.11% [SELL] -> M9:1.07% -> M10:4.11% -> M11:11.18%,
NXPI,1/1/23,178.08,15.2,173.44,-2.61,180.54,4.09,159.81,-11.48,175.33,9.71,201.09,14.69,216.62,7.72,202.93,-6.32,197.42,-2.72,168.7,-14.55,200.58,18.9,32.63,0,0,0.1,0,M1:15.2% -> M2:12.59% -> M3:16.68% -> M4:5.2% -> M5:14.91% -> M6:29.6% -> M7:37.32% -> M8:31.0% -> M9:28.28% -> M10:13.73% -> M11:32.63%,
JCI,1/1/23,63.27,2.08,59.62,-5.77,57.67,-3.27,57.5,-0.29,56.75,-1.3,65.62,15.63,66.95,2.03,57.47,-14.16,51.5,-10.39,48.08,-6.64,51.53,7.18,0.54,1,-15.44,0.1,-148.33,M1:2.08% -> M2:-3.69% -> M3:-6.96% -> M4:-7.25% -> M5:-8.55% -> M6:7.08% -> M7:9.11% -> M8:-5.05% -> M9:-15.44% [SELL] -> M10:-6.64% -> M11:0.54%,
GWW,1/1/23,572.88,4.67,655.3,14.39,673.14,2.72,685.74,1.87,640.93,-6.53,775.11,20.94,723.89,-6.61,709.38,-2,684.68,-3.48,722.91,5.58,778.1,7.63,39.18,0,0,0.1,0,M1:4.67% -> M2:19.06% -> M3:21.78% -> M4:23.65% -> M5:17.12% -> M6:38.06% -> M7:31.45% -> M8:29.45% -> M9:25.97% -> M10:31.55% -> M11:39.18%,
NSC,1/1/23,231.65,-1.15,213.74,-7.73,200.9,-6.01,193.73,-3.57,201.15,3.83,216.04,7.4,223.88,3.63,198.99,-11.12,182.66,-8.21,184.98,1.27,215.89,16.71,9.94,1,-14.89,0.1,-141.91,M1:-1.15% -> M2:-8.88% -> M3:-14.89% [SELL] -> M4:-3.57% -> M5:0.26% -> M6:7.66% -> M7:11.29% -> M8:0.17% -> M9:-8.04% -> M10:-6.77% -> M11:9.94%,
